date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:26	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2008%20Feb%202026%2018:55:26%20GMT	https://www.urbanoasispa.com/window.location.href	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/window.location.f.delayed	(from https://www.urbanoasispa.com/)
14:55:26	38713/38713	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:11%20GMT	https://static.wixstatic.com/media/0f001e_81b69f9adb654d94b024daa8bbb432eb~mv2.jpg/v1/crop/x_0,y_469,w_4160,h_5302/fill/w_386,h_492,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/DSCF8204_JPG.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_81b69f9adb654d94b024daa8bbb432eb_mv2.jpg/v1/crop/x_0,y_469,w_4160,h_5302/fill/w_386,h_492,al_c,q_80,usm_0.66_1.00_0.01,enc_a/DSCF8204_JPG.d.delaye	(from https://www.urbanoasispa.com/)
14:55:26	47245/47245	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:12%20GMT	https://static.wixstatic.com/media/0f001e_4294a86fea3d4dbd92f7c7f5ffa03a69~mv2.jpg/v1/fill/w_508,h_720,al_c,lg_1,q_85,enc_avif,quality_auto/0f001e_4294a86fea3d4dbd92f7c7f5ffa03a69~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_4294a86fea3d4dbd92f7c7f5ffa03a69_mv2.jpg/v1/fill/w_508,h_720,al_c,lg_1,q_85,enc_avif,quality_aut/0f001e_4294a86fea3d4dbd92f7c7f5ffa03a69_mv2.e.del	(from https://www.urbanoasispa.com/)
14:55:26	131854/131854	---M--	200	added ('OK')	application/javascript	etag:W/%223dba122fff59f2079b3877b077a5c7c7%22	https://browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	(from https://www.urbanoasispa.com/)
14:55:26	3323/3323	---M-Z	200	added ('OK')	application/javascript	etag:%22ccf0e1db3811d44808d97a63c7a72d1f%22	https://browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	(from https://www.urbanoasispa.com/)
14:55:27	5943/5943	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221e9a29e51150f50906a91843a15e1e8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://www.urbanoasispa.com/)
14:55:27	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:27%20GMT	https://www.urbanoasispa.com/sitemap.xml	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/sitemap.13.delayed	(from https://www.urbanoasispa.com/)
14:55:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Feb%202026%2018:55:27%20GMT	https://www.urbanoasispa.com/api/	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/api/index.html	(from https://www.urbanoasispa.com/)
14:55:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Feb%202026%2018:55:27%20GMT	https://www.urbanoasispa.com/envelope/	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/envelope/index.html	(from https://www.urbanoasispa.com/)
14:55:28	2205/2205	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:28%20GMT	https://www.urbanoasispa.com/feed.xml	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/feed.14.delayed	(from https://www.urbanoasispa.com/)
14:55:28	141180/141180	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e95597b2785ad93989c9488400b5423a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.3a7dc6ee.bundle.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.3a7dc6ee.bundle.min.js	(from https://www.urbanoasispa.com/)
14:55:28	223122/223122	---M-Z	200	added ('OK')	application/javascript	etag:W/%221796303383fc889b1700a258e5ca2cc6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.361d7bea.bundle.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/wix-thunderbolt/dist/main.361d7bea.bundle.min.js	(from https://www.urbanoasispa.com/)
14:55:28	154/154	---M-Z	200	added ('OK')	application/javascript	etag:W/%22530e638aadaca11cc55439f7bbf92094%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	(from https://www.urbanoasispa.com/)
14:55:29	73015/73015	---MCZ	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.urbanoasispa.com/)
14:55:29	10751/10751	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.urbanoasispa.com/)
14:55:29	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.urbanoasispa.com/)
14:55:30	2207/2207	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2008%20Feb%202026%2018:55:30%20GMT	https://www.urbanoasispa.com/decodeURIComponent(e	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/decodeURIComponent(e.1b.delayed	(from https://www.urbanoasispa.com/)
14:55:31	3414/3414	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:18%20GMT	https://static.wixstatic.com/media/0f001e_d41d61e142b04d5c86492fdf7ac35b8c~mv2.jpg/v1/fill/w_123,h_88,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_d41d61e142b04d5c86492fdf7ac35b8c~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_d41d61e142b04d5c86492fdf7ac35b8c_mv2.jpg/v1/fill/w_123,h_88,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_d41d61e142b04d5c86492fdf7ac35b8c_mv2.1d.de	(from https://www.urbanoasispa.com/about)
14:55:31	9582/9582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22df644f83788d1f4c908f19099724035e%22	https://static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	(from https://www.urbanoasispa.com/)
14:55:32	2559/2559	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:19%20GMT	https://static.wixstatic.com/media/0f001e_81b69f9adb654d94b024daa8bbb432eb~mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_81b69f9adb654d94b024daa8bbb432eb~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_81b69f9adb654d94b024daa8bbb432eb_mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_81b69f9adb654d94b024daa8bbb432eb_mv2.1f.de	(from https://www.urbanoasispa.com/experience)
14:55:32	2451/2451	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:19%20GMT	https://static.wixstatic.com/media/0f001e_560d801e9e9d4813884fa6e0b0fe3c92~mv2.jpg/v1/fill/w_118,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_560d801e9e9d4813884fa6e0b0fe3c92~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_560d801e9e9d4813884fa6e0b0fe3c92_mv2.jpg/v1/fill/w_118,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_560d801e9e9d4813884fa6e0b0fe3c92_mv2.1e.de	(from https://www.urbanoasispa.com/about)
14:55:32	3573/3573	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:19%20GMT	https://static.wixstatic.com/media/0f001e_b62c038781934a1e8fcf16c486257062~mv2.jpg/v1/fill/w_98,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_b62c038781934a1e8fcf16c486257062~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_b62c038781934a1e8fcf16c486257062_mv2.jpg/v1/fill/w_98,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_b62c038781934a1e8fcf16c486257062_mv2.20.de	(from https://www.urbanoasispa.com/experience)
14:55:32	2370/2370	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:20%20GMT	https://static.wixstatic.com/media/0f001e_7f1fcb6322864e94a46453dd3c39437e~mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_7f1fcb6322864e94a46453dd3c39437e~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_7f1fcb6322864e94a46453dd3c39437e_mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_7f1fcb6322864e94a46453dd3c39437e_mv2.21.de	(from https://www.urbanoasispa.com/experience)
